Year,CO2
1,276.7
1,276.7
30,277.9
30,277.9
30,277.9
56,277.4
56,277.4
56,277.4
56,277.4
104,277.5
104,277.5
104,277.5
104,277.5
104,277.5
136,278.1
136,278.1
136,278.1
154,278.0719954
154,278.0719954
175,277.5558921
175,277.5558921
175,277.5558921
175,277.5558921
175,277.5558921
241,280.2490872
241,280.2490872
241,280.2490872
241,280.2490872
241,280.2490872
266,278.3143999
266,278.3143999
274,280.2444922
296,280.9089599
296,280.9089599
296,280.9089599
318,281.6921389
318,281.6921389
318,281.6921389
357,277.7953778
357,277.7953778
357,277.7953778
357,277.7953778
384,277.2469179
384,277.2469179
384,277.2469179
406,279.1252091
406,279.1252091
406,279.1252091
437,279.9999147
437,279.9999147
437,279.9999147
437,279.9999147
488,277.1056915
488,277.1056915
488,277.1056915
488,277.1056915
488,277.1056915
518,276.7895191
518,276.7895191
518,276.7895191
552,276.5590465
552,276.5590465
557,278.4608976
557,278.4608976
582,276.1960375
582,276.1960375
582,276.1960375
615,277.8697161
615,277.8697161
615,277.8697161
637,279.5880502
637,279.5880502
637,279.5880502
669,278.454968
669,278.454968
669,278.454968
669,278.454968
701,277.0989409
701,277.0989409
701,277.0989409
730,279.9902637
730,279.9902637
730,279.9902637
730,279.9902637
762,279.2937108
762,279.2937108
762,279.2937108
793,279.7246992
793,279.7246992
793,279.7246992
793,279.7246992
822,278.6230032
822,278.6230032
822,278.6230032
822,278.6230032
875,279.4204406
875,279.4204406
875,279.4204406
875,279.4204406
875,279.4204406
914,280.1055259
914,280.1055259
914,280.1055259
914,280.1055259
914,280.1055259
958,277.4071684
958,277.4071684
958,277.4071684
958,277.4071684
983,278.7402402
983,278.7402402
983,278.7402402
1018,279.7987034
1018,279.7987034
1019,280.0645297
1019,280.0645297
1040,280.9161702
1049,280.9667443
1049,280.9667443
1070,282.844416
1070,282.844416
1070,282.844416
1099,283.0944583
1099,283.0944583
1116,282.8416314
1116,282.8416314
1116,282.8416314
1146,284.5105844
1146,284.5105844
1146,284.5105844
1166,283.9659747
1166,283.9659747
1166,283.9659747
1200,284.5400442
1200,284.5400442
1211,283.6882892
1211,283.6882892
1211,283.6882892
1251,282.4131105
1251,282.4131105
1251,282.4131105
1260,282.1992861
1278,278.4312489
1278,278.4312489
1278,278.4312489
1307,281.578409
1307,281.578409
1307,281.578409
1330,284.0676433
1330,284.0676433
1349,278.3621212
1349,278.3621212
1349,278.3621212
1349,278.3621212
1390,280.9115788
1390,280.9115788
1390,280.9115788
1411,279.6965499
1411,279.6965499
1429,279.7256959
1429,279.7256959
1449,282.2265804
1449,282.2265804
1449,282.2265804
1469,280.3125047
1469,280.3125047
1469,280.3125047
1502,283.1247804
1502,283.1247804
1502,283.1247804
1530,283.9478904
1530,283.9478904
1530,283.9478904
1550,283.5296826
1560,281.8290415
1560,281.8290415
1573,282.5698275
1588,281.1089282
1591,279.3568611
1603,275.0665778
1609,271.1090305
1629,273.7807623
1629,273.7807623
1640,276.6872123
1649,278.0152295
1649,278.0152295
1649,278.0152295
1682,276.6596678
1682,276.6596678
1690,276.3246168
1694,277.3580509
1723,277.64171
1723,277.64171
1723,277.64171
1734,278.3109425
1741,276.809
1752,277.2296649
1763,277.1556866
1773,277.8559525
1780,273.073717
1794,281.617118
1799,282.7995519
1814,284.4312876
1814,284.4312876
1825,281.3603653
1833,284.4532795
1843,281.5814826
1851,287.1281131
1862,287.1745622
1870,287.1561379
1880,287.7707292
1887,294.3417875
1899,296.164411
1906,298.4775408
1914,300.7000887
1923,304.6900813
1933,307.1116137
1942,312.3719084
1950,312.8310311
1959,315.9758333
1968,323.0466667
1977,333.9041667
1986,347.1258333
1995,360.7225
2004,377.3033333
2013,396.645
2022,417.978